algorithm,generator,m,seed,0
Balanced Sequential Insert,Constant,1,0,11325.0
Balanced Sequential Insert,Constant,1,1,11325.0
Balanced Sequential Insert,Constant,1,2,11325.0
Balanced Sequential Insert,Constant,1,3,11325.0
Balanced Sequential Insert,Constant,1,4,11325.0
Balanced Sequential Insert,Constant,1,5,11325.0
Balanced Sequential Insert,Constant,1,6,11325.0
Balanced Sequential Insert,Constant,1,7,11325.0
Balanced Sequential Insert,Constant,1,8,11325.0
Balanced Sequential Insert,Constant,1,9,11325.0
Balanced Sequential Insert,Constant,2,0,5700.0
Balanced Sequential Insert,Constant,2,1,5700.0
Balanced Sequential Insert,Constant,2,2,5700.0
Balanced Sequential Insert,Constant,2,3,5700.0
Balanced Sequential Insert,Constant,2,4,5700.0
Balanced Sequential Insert,Constant,2,5,5700.0
Balanced Sequential Insert,Constant,2,6,5700.0
Balanced Sequential Insert,Constant,2,7,5700.0
Balanced Sequential Insert,Constant,2,8,5700.0
Balanced Sequential Insert,Constant,2,9,5700.0
Balanced Sequential Insert,Constant,3,0,3825.0
Balanced Sequential Insert,Constant,3,1,3825.0
Balanced Sequential Insert,Constant,3,2,3825.0
Balanced Sequential Insert,Constant,3,3,3825.0
Balanced Sequential Insert,Constant,3,4,3825.0
Balanced Sequential Insert,Constant,3,5,3825.0
Balanced Sequential Insert,Constant,3,6,3825.0
Balanced Sequential Insert,Constant,3,7,3825.0
Balanced Sequential Insert,Constant,3,8,3825.0
Balanced Sequential Insert,Constant,3,9,3825.0
Balanced Sequential Insert,Constant,4,0,2889.0
Balanced Sequential Insert,Constant,4,1,2889.0
Balanced Sequential Insert,Constant,4,2,2889.0
Balanced Sequential Insert,Constant,4,3,2889.0
Balanced Sequential Insert,Constant,4,4,2889.0
Balanced Sequential Insert,Constant,4,5,2889.0
Balanced Sequential Insert,Constant,4,6,2889.0
Balanced Sequential Insert,Constant,4,7,2889.0
Balanced Sequential Insert,Constant,4,8,2889.0
Balanced Sequential Insert,Constant,4,9,2889.0
Balanced Sequential Insert,Constant,5,0,2325.0
Balanced Sequential Insert,Constant,5,1,2325.0
Balanced Sequential Insert,Constant,5,2,2325.0
