n,m,Generator,Seed,0
150,2,+1 Increasing Weights,0,478899
150,2,+1 Increasing Weights,1,478899
150,2,+1 Increasing Weights,2,478899
150,2,+1 Increasing Weights,3,478899
150,2,+1 Increasing Weights,4,478899
150,2,+1 Increasing Weights,5,478899
150,2,+1 Increasing Weights,6,478899
150,2,+1 Increasing Weights,7,478899
150,2,+1 Increasing Weights,8,478899
150,2,+1 Increasing Weights,9,478899
150,2,-1 Decreasing Weights,0,315319
150,2,-1 Decreasing Weights,1,315319
150,2,-1 Decreasing Weights,2,315319
150,2,-1 Decreasing Weights,3,315319
150,2,-1 Decreasing Weights,4,315319
150,2,-1 Decreasing Weights,5,315319
150,2,-1 Decreasing Weights,6,315319
150,2,-1 Decreasing Weights,7,315319
150,2,-1 Decreasing Weights,8,315319
150,2,-1 Decreasing Weights,9,315319
150,2,Small Random Weights,0,261784
150,2,Small Random Weights,1,254484
150,2,Small Random Weights,2,299804
150,2,Small Random Weights,3,248842
150,2,Small Random Weights,4,259716
150,2,Small Random Weights,5,244844
150,2,Small Random Weights,6,286341
150,2,Small Random Weights,7,265903
150,2,Small Random Weights,8,274000
150,2,Small Random Weights,9,277431
150,2,Small Span Large Weights,0,57272352
150,2,Small Span Large Weights,1,57275059
150,2,Small Span Large Weights,2,57306404
150,2,Small Span Large Weights,3,57262901
150,2,Small Span Large Weights,4,57283887
150,2,Small Span Large Weights,5,57266708
150,2,Small Span Large Weights,6,57301088
150,2,Small Span Large Weights,7,57282889
150,2,Small Span Large Weights,8,57295225
150,2,Small Span Large Weights,9,57302433
150,2,Large Span Large Weights,0,2643899028
150,2,Large Span Large Weights,1,2608123451
150,2,Large Span Large Weights,2,2716037484
150,2,Large Span Large Weights,3,2505437213
150,2,Large Span Large Weights,4,2728768549
150,2,Large Span Large Weights,5,2735728133
150,2,Large Span Large Weights,6,2532985635
150,2,Large Span Large Weights,7,2767672798
150,2,Large Span Large Weights,8,2733994074
150,2,Large Span Large Weights,9,2819679185
150,2,"Random Half Low, then Half High Weights",0,3094893
