n,m,Generator,Seed,0
150,2,+1 Increasing Weights,0,565250
150,2,+1 Increasing Weights,1,565250
150,2,+1 Increasing Weights,2,565250
150,2,+1 Increasing Weights,3,565250
150,2,+1 Increasing Weights,4,565250
150,2,+1 Increasing Weights,5,565250
150,2,+1 Increasing Weights,6,565250
150,2,+1 Increasing Weights,7,565250
150,2,+1 Increasing Weights,8,565250
150,2,+1 Increasing Weights,9,565250
150,2,-1 Decreasing Weights,0,284050
150,2,-1 Decreasing Weights,1,284050
150,2,-1 Decreasing Weights,2,284050
150,2,-1 Decreasing Weights,3,284050
150,2,-1 Decreasing Weights,4,284050
150,2,-1 Decreasing Weights,5,284050
150,2,-1 Decreasing Weights,6,284050
150,2,-1 Decreasing Weights,7,284050
150,2,-1 Decreasing Weights,8,284050
150,2,-1 Decreasing Weights,9,284050
150,2,Small Random Weights,0,272362
150,2,Small Random Weights,1,281189
150,2,Small Random Weights,2,310193
150,2,Small Random Weights,3,264261
150,2,Small Random Weights,4,276984
150,2,Small Random Weights,5,266802
150,2,Small Random Weights,6,295503
150,2,Small Random Weights,7,280721
150,2,Small Random Weights,8,281969
150,2,Small Random Weights,9,300629
150,2,Small Span Large Weights,0,57271663
150,2,Small Span Large Weights,1,57281301
150,2,Small Span Large Weights,2,57310080
150,2,Small Span Large Weights,3,57263954
150,2,Small Span Large Weights,4,57276717
150,2,Small Span Large Weights,5,57266234
150,2,Small Span Large Weights,6,57295249
150,2,Small Span Large Weights,7,57280397
150,2,Small Span Large Weights,8,57281422
150,2,Small Span Large Weights,9,57300525
150,2,Large Span Large Weights,0,2732074181
150,2,Large Span Large Weights,1,2807939551
150,2,Large Span Large Weights,2,2895357180
150,2,Large Span Large Weights,3,2716566372
150,2,Large Span Large Weights,4,2769124790
150,2,Large Span Large Weights,5,2854785590
150,2,Large Span Large Weights,6,2665240965
150,2,Large Span Large Weights,7,2923762986
150,2,Large Span Large Weights,8,2892352125
150,2,Large Span Large Weights,9,3008474514
150,2,"Random Half Low, then Half High Weights",0,4102257
150,2,"Random Half Low, then Half High Weights",1,4106955
150,2,"Random Half Low, then Half High Weights",2,4140467
150,2,"Random Half Low, then Half High Weights",3,4094456
150,2,"Random Half Low, then Half High Weights",4,4107176
150,2,"Random Half Low, then Half High Weights",5,4096998
150,2,"Random Half Low, then Half High Weights",6,4125678
150,2,"Random Half Low, then Half High Weights",7,4110912
150,2,"Random Half Low, then Half High Weights",8,4112187
150,2,"Random Half Low, then Half High Weights",9,4130992
150,2,"Random Half High, then Half Low Weights",0,1571881
150,2,"Random Half High, then Half Low Weights",1,1582046
150,2,"Random Half High, then Half Low Weights",2,1610472
150,2,"Random Half High, then Half Low Weights",3,1564138
150,2,"Random Half High, then Half Low Weights",4,1578418
150,2,"Random Half High, then Half Low Weights",5,1566998
150,2,"Random Half High, then Half Low Weights",6,1595956
150,2,"Random Half High, then Half Low Weights",7,1580699
150,2,"Random Half High, then Half Low Weights",8,1583103
150,2,"Random Half High, then Half Low Weights",9,1601241
150,2,Increasingly Sorted Large Span Random Weights,0,404892022
150,2,Increasingly Sorted Large Span Random Weights,1,406865789
150,2,Increasingly Sorted Large Span Random Weights,2,365880252
150,2,Increasingly Sorted Large Span Random Weights,3,365341347
150,2,Increasingly Sorted Large Span Random Weights,4,399854357
150,2,Increasingly Sorted Large Span Random Weights,5,355063594
150,2,Increasingly Sorted Large Span Random Weights,6,344446396
150,2,Increasingly Sorted Large Span Random Weights,7,392539027
150,2,Increasingly Sorted Large Span Random Weights,8,362491467
150,2,Increasingly Sorted Large Span Random Weights,9,387964740
150,2,Decreasingly Sorted Large Span Random Weights,0,210783522
150,2,Decreasingly Sorted Large Span Random Weights,1,212341399
150,2,Decreasingly Sorted Large Span Random Weights,2,193270368
150,2,Decreasingly Sorted Large Span Random Weights,3,182968329
150,2,Decreasingly Sorted Large Span Random Weights,4,214867995
150,2,Decreasingly Sorted Large Span Random Weights,5,181459274
150,2,Decreasingly Sorted Large Span Random Weights,6,158943632
150,2,Decreasingly Sorted Large Span Random Weights,7,204831461
150,2,Decreasingly Sorted Large Span Random Weights,8,180281077
150,2,Decreasingly Sorted Large Span Random Weights,9,197009616
150,3,+1 Increasing Weights,0,378675
150,3,+1 Increasing Weights,1,378675
150,3,+1 Increasing Weights,2,378675
150,3,+1 Increasing Weights,3,378675
150,3,+1 Increasing Weights,4,378675
150,3,+1 Increasing Weights,5,378675
150,3,+1 Increasing Weights,6,378675
150,3,+1 Increasing Weights,7,378675
