n,m,Generator,Seed,0
150,2,+1 Increasing Weights,0,565250
150,2,+1 Increasing Weights,1,565250
150,2,+1 Increasing Weights,2,565250
150,2,+1 Increasing Weights,3,565250
150,2,+1 Increasing Weights,4,565250
150,2,+1 Increasing Weights,5,565250
150,2,+1 Increasing Weights,6,565250
150,2,+1 Increasing Weights,7,565250
150,2,+1 Increasing Weights,8,565250
150,2,+1 Increasing Weights,9,565250
150,2,-1 Decreasing Weights,0,284050
150,2,-1 Decreasing Weights,1,284050
150,2,-1 Decreasing Weights,2,284050
150,2,-1 Decreasing Weights,3,284050
150,2,-1 Decreasing Weights,4,284050
150,2,-1 Decreasing Weights,5,284050
150,2,-1 Decreasing Weights,6,284050
150,2,-1 Decreasing Weights,7,284050
150,2,-1 Decreasing Weights,8,284050
150,2,-1 Decreasing Weights,9,284050
150,2,Small Random Weights,0,265593
150,2,Small Random Weights,1,269459
150,2,Small Random Weights,2,305497
150,2,Small Random Weights,3,255799
150,2,Small Random Weights,4,268231
150,2,Small Random Weights,5,258845
150,2,Small Random Weights,6,288009
150,2,Small Random Weights,7,273139
150,2,Small Random Weights,8,272546
150,2,Small Random Weights,9,292707
150,2,Small Span Large Weights,0,57271429
150,2,Small Span Large Weights,1,57275211
150,2,Small Span Large Weights,2,57308123
150,2,Small Span Large Weights,3,57261094
150,2,Small Span Large Weights,4,57274056
150,2,Small Span Large Weights,5,57265737
150,2,Small Span Large Weights,6,57293617
150,2,Small Span Large Weights,7,57277425
150,2,Small Span Large Weights,8,57280331
150,2,Small Span Large Weights,9,57298587
150,2,Large Span Large Weights,0,2688949973
150,2,Large Span Large Weights,1,2733022178
150,2,Large Span Large Weights,2,2826529375
150,2,Large Span Large Weights,3,2624126066
150,2,Large Span Large Weights,4,2706389593
150,2,Large Span Large Weights,5,2803546583
150,2,Large Span Large Weights,6,2562580936
150,2,Large Span Large Weights,7,2882761936
150,2,Large Span Large Weights,8,2818591769
150,2,Large Span Large Weights,9,2939269878
150,2,"Random Half Low, then Half High Weights",0,4095683
150,2,"Random Half Low, then Half High Weights",1,4101236
150,2,"Random Half Low, then Half High Weights",2,4132204
150,2,"Random Half Low, then Half High Weights",3,4088357
150,2,"Random Half Low, then Half High Weights",4,4101338
150,2,"Random Half Low, then Half High Weights",5,4087607
150,2,"Random Half Low, then Half High Weights",6,4118164
150,2,"Random Half Low, then Half High Weights",7,4105195
150,2,"Random Half Low, then Half High Weights",8,4103174
150,2,"Random Half Low, then Half High Weights",9,4124786
150,2,"Random Half High, then Half Low Weights",0,1569505
150,2,"Random Half High, then Half Low Weights",1,1577843
150,2,"Random Half High, then Half Low Weights",2,1605691
150,2,"Random Half High, then Half Low Weights",3,1559342
150,2,"Random Half High, then Half Low Weights",4,1574250
150,2,"Random Half High, then Half Low Weights",5,1562226
150,2,"Random Half High, then Half Low Weights",6,1592774
150,2,"Random Half High, then Half Low Weights",7,1577656
150,2,"Random Half High, then Half Low Weights",8,1579311
150,2,"Random Half High, then Half Low Weights",9,1597616
150,2,Increasingly Sorted Large Span Random Weights,0,404892022
150,2,Increasingly Sorted Large Span Random Weights,1,406865789
150,2,Increasingly Sorted Large Span Random Weights,2,365880252
150,2,Increasingly Sorted Large Span Random Weights,3,365341347
150,2,Increasingly Sorted Large Span Random Weights,4,399854357
150,2,Increasingly Sorted Large Span Random Weights,5,355062550
150,2,Increasingly Sorted Large Span Random Weights,6,344446396
150,2,Increasingly Sorted Large Span Random Weights,7,392539027
150,2,Increasingly Sorted Large Span Random Weights,8,362491467
150,2,Increasingly Sorted Large Span Random Weights,9,387964740
150,2,Decreasingly Sorted Large Span Random Weights,0,210783522
150,2,Decreasingly Sorted Large Span Random Weights,1,212341399
150,2,Decreasingly Sorted Large Span Random Weights,2,193270368
150,2,Decreasingly Sorted Large Span Random Weights,3,182968329
150,2,Decreasingly Sorted Large Span Random Weights,4,214867995
150,2,Decreasingly Sorted Large Span Random Weights,5,181458406
150,2,Decreasingly Sorted Large Span Random Weights,6,158943632
150,2,Decreasingly Sorted Large Span Random Weights,7,204831461
150,2,Decreasingly Sorted Large Span Random Weights,8,180281077
150,2,Decreasingly Sorted Large Span Random Weights,9,197009616
150,3,+1 Increasing Weights,0,378675
150,3,+1 Increasing Weights,1,378675
150,3,+1 Increasing Weights,2,378675
150,3,+1 Increasing Weights,3,378675
150,3,+1 Increasing Weights,4,378675
150,3,+1 Increasing Weights,5,378675
150,3,+1 Increasing Weights,6,378675
150,3,+1 Increasing Weights,7,378675
