n,m,Generator,Seed,0
150,2,+1 Increasing Weights,0,557098
150,2,+1 Increasing Weights,1,557098
150,2,+1 Increasing Weights,2,557098
150,2,+1 Increasing Weights,3,557098
150,2,+1 Increasing Weights,4,557098
150,2,+1 Increasing Weights,5,557098
150,2,+1 Increasing Weights,6,557098
150,2,+1 Increasing Weights,7,557098
150,2,+1 Increasing Weights,8,557098
150,2,+1 Increasing Weights,9,557098
150,2,-1 Decreasing Weights,0,284050
150,2,-1 Decreasing Weights,1,284050
150,2,-1 Decreasing Weights,2,284050
150,2,-1 Decreasing Weights,3,284050
150,2,-1 Decreasing Weights,4,284050
150,2,-1 Decreasing Weights,5,284050
150,2,-1 Decreasing Weights,6,284050
150,2,-1 Decreasing Weights,7,284050
150,2,-1 Decreasing Weights,8,284050
150,2,-1 Decreasing Weights,9,284050
150,2,Small Random Weights,0,255096
150,2,Small Random Weights,1,260851
150,2,Small Random Weights,2,294252
150,2,Small Random Weights,3,246990
150,2,Small Random Weights,4,262543
150,2,Small Random Weights,5,245773
150,2,Small Random Weights,6,279840
150,2,Small Random Weights,7,263597
150,2,Small Random Weights,8,264576
150,2,Small Random Weights,9,284151
150,2,Small Span Large Weights,0,57259970
150,2,Small Span Large Weights,1,57267566
150,2,Small Span Large Weights,2,57298754
150,2,Small Span Large Weights,3,57251982
150,2,Small Span Large Weights,4,57266480
150,2,Small Span Large Weights,5,57253450
150,2,Small Span Large Weights,6,57282768
150,2,Small Span Large Weights,7,57267407
150,2,Small Span Large Weights,8,57268150
150,2,Small Span Large Weights,9,57287689
150,2,Large Span Large Weights,0,2569025344
150,2,Large Span Large Weights,1,2632158943
150,2,Large Span Large Weights,2,2724087113
150,2,Large Span Large Weights,3,2502932292
150,2,Large Span Large Weights,4,2605035144
150,2,Large Span Large Weights,5,2706278436
150,2,Large Span Large Weights,6,2515148006
150,2,Large Span Large Weights,7,2760893872
150,2,Large Span Large Weights,8,2720904669
150,2,Large Span Large Weights,9,2850395246
150,2,"Random Half Low, then Half High Weights",0,3927343
150,2,"Random Half Low, then Half High Weights",1,3979720
150,2,"Random Half Low, then Half High Weights",2,4009225
150,2,"Random Half Low, then Half High Weights",3,3963657
150,2,"Random Half Low, then Half High Weights",4,3958470
150,2,"Random Half Low, then Half High Weights",5,3941972
150,2,"Random Half Low, then Half High Weights",6,3974795
150,2,"Random Half Low, then Half High Weights",7,3979883
150,2,"Random Half Low, then Half High Weights",8,3980802
150,2,"Random Half Low, then Half High Weights",9,3956621
150,2,"Random Half High, then Half Low Weights",0,1559485
150,2,"Random Half High, then Half Low Weights",1,1566266
150,2,"Random Half High, then Half Low Weights",2,1598146
150,2,"Random Half High, then Half Low Weights",3,1550700
150,2,"Random Half High, then Half Low Weights",4,1565208
150,2,"Random Half High, then Half Low Weights",5,1553395
150,2,"Random Half High, then Half Low Weights",6,1583662
150,2,"Random Half High, then Half Low Weights",7,1566493
150,2,"Random Half High, then Half Low Weights",8,1567964
150,2,"Random Half High, then Half Low Weights",9,1587431
