n,m,Generator,Seed,0
150,2,+1 Increasing Weights,0,478192
150,2,+1 Increasing Weights,1,478192
150,2,+1 Increasing Weights,2,478192
150,2,+1 Increasing Weights,3,478192
150,2,+1 Increasing Weights,4,478192
150,2,+1 Increasing Weights,5,478192
150,2,+1 Increasing Weights,6,478192
150,2,+1 Increasing Weights,7,478192
150,2,+1 Increasing Weights,8,478192
150,2,+1 Increasing Weights,9,478192
150,2,-1 Decreasing Weights,0,284050
150,2,-1 Decreasing Weights,1,284050
150,2,-1 Decreasing Weights,2,284050
150,2,-1 Decreasing Weights,3,284050
150,2,-1 Decreasing Weights,4,284050
150,2,-1 Decreasing Weights,5,284050
150,2,-1 Decreasing Weights,6,284050
150,2,-1 Decreasing Weights,7,284050
150,2,-1 Decreasing Weights,8,284050
150,2,-1 Decreasing Weights,9,284050
150,2,Small Random Weights,0,224607
150,2,Small Random Weights,1,228954
150,2,Small Random Weights,2,265620
150,2,Small Random Weights,3,223397
150,2,Small Random Weights,4,237933
150,2,Small Random Weights,5,212964
150,2,Small Random Weights,6,250676
150,2,Small Random Weights,7,234216
150,2,Small Random Weights,8,237060
150,2,Small Random Weights,9,248198
150,2,Small Span Large Weights,0,57231297
150,2,Small Span Large Weights,1,57239338
150,2,Small Span Large Weights,2,57272186
150,2,Small Span Large Weights,3,57227499
150,2,Small Span Large Weights,4,57241714
150,2,Small Span Large Weights,5,57220036
150,2,Small Span Large Weights,6,57258013
150,2,Small Span Large Weights,7,57240713
150,2,Small Span Large Weights,8,57242747
150,2,Small Span Large Weights,9,57257708
150,2,Large Span Large Weights,0,2330061083
150,2,Large Span Large Weights,1,2381002738
150,2,Large Span Large Weights,2,2470318545
150,2,Large Span Large Weights,3,2219259169
150,2,Large Span Large Weights,4,2357797815
150,2,Large Span Large Weights,5,2424267549
150,2,Large Span Large Weights,6,2229932561
150,2,Large Span Large Weights,7,2495481175
150,2,Large Span Large Weights,8,2453531745
150,2,Large Span Large Weights,9,2562810229
150,2,"Random Half Low, then Half High Weights",0,2825796
150,2,"Random Half Low, then Half High Weights",1,2840419
150,2,"Random Half Low, then Half High Weights",2,2862303
150,2,"Random Half Low, then Half High Weights",3,2829126
150,2,"Random Half Low, then Half High Weights",4,2857112
150,2,"Random Half Low, then Half High Weights",5,2817998
150,2,"Random Half Low, then Half High Weights",6,2854450
150,2,"Random Half Low, then Half High Weights",7,2847107
150,2,"Random Half Low, then Half High Weights",8,2852726
150,2,"Random Half Low, then Half High Weights",9,2852435
150,2,"Random Half High, then Half Low Weights",0,1553899
150,2,"Random Half High, then Half Low Weights",1,1555866
150,2,"Random Half High, then Half Low Weights",2,1591957
150,2,"Random Half High, then Half Low Weights",3,1542846
150,2,"Random Half High, then Half Low Weights",4,1553864
150,2,"Random Half High, then Half Low Weights",5,1545873
150,2,"Random Half High, then Half Low Weights",6,1574366
150,2,"Random Half High, then Half Low Weights",7,1558883
150,2,"Random Half High, then Half Low Weights",8,1559091
150,2,"Random Half High, then Half Low Weights",9,1581071
150,2,Increasingly Sorted Large Span Random Weights,0,344179169
150,2,Increasingly Sorted Large Span Random Weights,1,348542395
150,2,Increasingly Sorted Large Span Random Weights,2,312790349
150,2,Increasingly Sorted Large Span Random Weights,3,308056014
150,2,Increasingly Sorted Large Span Random Weights,4,342803504
150,2,Increasingly Sorted Large Span Random Weights,5,300141969
150,2,Increasingly Sorted Large Span Random Weights,6,282262271
150,2,Increasingly Sorted Large Span Random Weights,7,339166854
150,2,Increasingly Sorted Large Span Random Weights,8,305762595
150,2,Increasingly Sorted Large Span Random Weights,9,326244076
150,2,Decreasingly Sorted Large Span Random Weights,0,210783522
150,2,Decreasingly Sorted Large Span Random Weights,1,212341399
150,2,Decreasingly Sorted Large Span Random Weights,2,193270368
150,2,Decreasingly Sorted Large Span Random Weights,3,182968329
150,2,Decreasingly Sorted Large Span Random Weights,4,214867995
150,2,Decreasingly Sorted Large Span Random Weights,5,181458406
150,2,Decreasingly Sorted Large Span Random Weights,6,158943632
150,2,Decreasingly Sorted Large Span Random Weights,7,204831461
150,2,Decreasingly Sorted Large Span Random Weights,8,180281077
150,2,Decreasingly Sorted Large Span Random Weights,9,197009616
150,3,+1 Increasing Weights,0,300484
